datum;leverancier;art;oms;aantal;netto;bestand
2026-07-07;Berner;356808-100;TAPBOUT 933 RVS M 10X 45 A2;200;58.04;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;101625-100;EXPRESSDRILL      14X39     ZI;200;29.08;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;1006420-100;EASYtimber WPN TZ    6x 80/ 40;200;27.96;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;85419-500;SPAANPLSCH EC PZ 4,5X 35 CK ZI;1000;22.9;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;42714-100;BRASSFIX        M 10X34     MS;200;111.18;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;316997;DRAADEIND    976 RVS M10X1M A2;12;60.24;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Würth;0648071416;Hamerboor Plus;2;18.12;2026-07-07_16_4750414431.PDF
2026-07-07;Würth;0648071426;Hamerboor Plus;1;13.94;2026-07-07_16_4750414431.PDF
2026-07-09;Würth;0626910019;Spiraalboor, metaal, assortiment/set;2;0;2026-07-09_13_4750416626.PDF
2026-07-10;Isero;465021;Spanband met klemgesp 350kg;7;22.79;2026-07-10_12_Factuur_23343230_Isero_BV.pdf
2026-07-10;Isero;126715;Dopbit 869/4 M 1/4 magnetisch;2;12.96;2026-07-10_12_Factuur_23343230_Isero_BV.pdf
2026-07-13;Isero;008200170;Veiligheidsschoenen Southern Cross Zip;1;165;2026-07-13_9_Factuur_23346334_Isero_BV.pdf
2026-07-13;Isero;183231;Afbreekmes Fatmax Pro 18mm;1;11.97;2026-07-13_9_Factuur_23346334_Isero_BV.pdf
2026-07-13;Isero;190003;Duimstok 1m hout ramin 4-delig (Bouw;1;7.7;2026-07-13_9_Factuur_23346334_Isero_BV.pdf
2026-07-13;Isero;4771861210;Markeerpotlood 3030 Pica-Dry voor diepe;1;14.5;2026-07-13_9_Factuur_23346334_Isero_BV.pdf
2026-07-13;Isero;16508783;Detector hout/metaal/koper/ijzer en;1;80.2;2026-07-13_9_Factuur_23346334_Isero_BV.pdf
2026-07-15;Würth;0996096120;ORSY SERVICE BIJDRAGE;1;0;2026-07-15_8_4750423212.PDF
2026-07-16;Berner;80539-20;INJECTIEHULS MCS PLUS H 16X130;200;193.34;2026-07-16_7_Factuur_1204034505_van_16.07.2026.PDF
2026-07-16;Berner;5380-100;ZESKANTMOER 934     M10 RVS A2;300;42.42;2026-07-16_7_Factuur_1204034505_van_16.07.2026.PDF
2026-07-16;Berner;184393-10;MCS MENGSPIRAAL DIAMOND NEW;100;90;2026-07-16_7_Factuur_1204034505_van_16.07.2026.PDF
2026-07-16;Berner;528544;BLAASPOMP V    BOORGATREINIGING;4;119.8;2026-07-16_7_Factuur_1204034505_van_16.07.2026.PDF
2026-07-16;Berner;544760;STAALBORSTEL BOORGATREINIG 20;10;55;2026-07-16_7_Factuur_1204034505_van_16.07.2026.PDF
2026-07-17;Würth;5915110130;Ankerstang cartridge/injectiebeton;400;244;2026-07-17_6_4750427712.PDF
2026-07-18;Würth;0590010;Afdekkap, zeskantkop;500;0;2026-07-18_5_4750429495.PDF
2026-07-18;Würth;05900010;Afdekkap, zeskantkop;500;0;2026-07-18_5_4750429495.PDF
2026-07-20;Isero;147312;Metaalzaagblad bahco 300mm 18 tanden;5;14.08;2026-07-20_4_Factuur_23371918_Isero_BV.pdf
2026-07-20;Isero;149403;Metaalzaagbeugel junior blad 150mm;1;10.14;2026-07-20_4_Factuur_23371918_Isero_BV.pdf
2026-07-20;Isero;606170;Metaalzaagbeugel blad 300mm Model;1;29.01;2026-07-20_4_Factuur_23371918_Isero_BV.pdf
2026-07-20;Isero;127908;Bithouder 899/4/1 S 1/4 universeel met;1;20.84;2026-07-20_4_Factuur_23371918_Isero_BV.pdf
2026-07-20;Isero;127906;Bithouder 899/4/1 S 1/4 universeel met;1;17.54;2026-07-20_4_Factuur_23371918_Isero_BV.pdf
2026-07-21;Isero;2594002;Markeerspray diep gat groen;1;12.12;2026-07-21_1_Factuur_23384296_Isero_BV.pdf
2026-07-21;Berner;85502-300;SPAANPLSCH EC TX 5,0X 50 CK ZI;6000;178.2;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;85419-500;SPAANPLSCH EC PZ 4,5X 35 CK ZI;4000;115.6;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;1006420-100;EASYtimber WPN TZ        6x 80/ 40;600;83.88;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;3337-100;SLUITRING DIN 9021 M10 RVS A2;600;66.72;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;284467-200;SLUITRING DIN 9021 M 8 RVS A2;400;30.32;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;3335-200;SLUITRING DIN 9021 M 6 RVS A2;1000;64.5;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;5363-200;ZESKANTMOER 934         M 6 RVS A2;1000;38.6;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;5371-200;ZESKANTMOER 934         M 8 RVS A2;800;52.88;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;5380-100;ZESKANTMOER 934         M10 RVS A2;200;28.28;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;835163-50;HOUTDRAADBOUT 571 8X100              A2;150;55.04;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;933082-50;HOUTDRAADBOUT 571 8X120              A2;50;24.2;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;932491;HAND-MACHINETAPPEN ASSORTIMENT;3;195;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;911371;BOOR- EN SNIJOLIE      400ML;4;31.2;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;424362;SPIRAALBOOR TOP 340   12,0X205;4;40.4;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;80539-20;INJECTIEHULS MCS PLUS H 16X130;120;116;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;101625-100;EXPRESSDRILL      14X39   ZI;200;29.08;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;109428-100;TAPBOUT 933 RVS M 10X 30 A2;100;31.59;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Berner;316997;DRAADEIND    976 RVS M10X1M A2;20;100.4;2026-07-21_2_Factuur_1204035206_van_21.07.2026.PDF
2026-07-21;Würth;0648071245;Hamerboor Plus;1;16.81;2026-07-21_3_4750430456.PDF
2026-07-23;Berner;911371;BOOR- EN SNIJOLIE           400ML;2;15.6;2026-07-23_0_Factuur_1204035847_van_23.07.2026.PDF
2026-07-23;Berner;835163-50;HOUTDRAADBOUT 571 8X100              A2;500;183.45;2026-07-23_0_Factuur_1204035847_van_23.07.2026.PDF
2026-07-23;Berner;85498-500;SPAANPLSCH EC TX 5,0X 30 CK ZI;5000;106.5;2026-07-23_0_Factuur_1204035847_van_23.07.2026.PDF
2026-07-23;Berner;932491;HAND-MACHINETAPPEN ASSORTIMENT;2;130;2026-07-23_0_Factuur_1204035847_van_23.07.2026.PDF
2026-07-23;Berner;316997;DRAADEIND       976 RVS M10X1M A2;10;50.2;2026-07-23_0_Factuur_1204035847_van_23.07.2026.PDF
